241	418
340	474
88	458
358	161
256	79
173	483
423	94
364	124
316	82
232	63
135	113
302	488
21	298
139	123
190	143
91	294
395	113
261	222
270	223
418	272
58	405
166	282
32	282
472	420
315	69
438	408
285	28
465	500
378	407
451	465
164	304
377	333
372	306
184	416
115	483
129	36
134	284
325	132
199	145
354	59
309	308
349	109
447	331
168	236
494	344
279	208
10	364
293	469
357	337
18	263
99	128
37	194
149	151
301	139
271	174
206	20
328	316
97	381
86	384
199	287
280	139
205	437
403	151
83	146
175	345
459	151
424	421
274	221
257	349
358	314
127	26
307	392
115	429
220	354
490	362
371	113
342	130
275	258
436	229
305	26
294	60
285	236
348	59
335	214
344	338
248	169
337	61
114	55
353	52
266	456
417	301
134	48
374	18
450	106
475	272
226	116
83	497
248	122
294	334
219	234
33	37
91	1
28	18
420	47
59	28
243	415
324	437
38	451
245	290
342	8
130	110
247	149
130	190
175	277
241	429
437	489
222	103
490	422
190	386
224	341
154	487
472	413
347	47
429	6
157	411
280	147
181	124
426	141
107	68
496	297
360	456
170	17
482	205
214	162
472	370
190	120
353	299
311	179
322	354
93	399
155	14
77	35
299	55
365	395
429	486
326	26
437	318
225	314
171	457
91	292
119	172
323	172
318	252
9	469
157	200
246	232
179	460
31	200
346	266
110	312
75	256
375	88
343	44
254	363
68	434
119	375
448	222
312	318
399	1
373	52
38	294
271	178
257	204
225	488
441	129
408	432
465	172
365	226
16	395
159	316
232	255
15	318
115	20
77	270
445	82
161	46
99	316
129	40
493	244
271	201
144	434
167	433
334	175
341	414
92	169
229	201
291	189
426	416
174	37
405	11
467	162
314	140
344	206
168	374
156	468
277	125
333	99
317	92
245	63
192	392
50	200
38	391
56	421
213	203
364	257
40	189
293	223
461	407
127	40
476	303
209	4
279	382
286	49
93	209
306	312
455	389
194	210
466	286
257	82
248	104
259	129
332	385
311	34
349	417
56	227
203	132
172	426
419	149
82	78
211	465
387	100
259	147
318	461
127	96
197	474
251	259
160	223
93	369
367	313
498	173
422	57
493	487
385	160
165	381
163	32
492	192
154	253
464	395
95	415
20	130
124	98
400	58
49	297
333	279
372	463
266	173
31	57
386	347
233	204
461	54
94	281
275	475
35	315
129	135
187	446
372	426
447	85
486	251
471	500
210	430
362	267
390	311
46	463
454	123
423	410
247	41
72	165
445	339
399	117
463	92
146	371
65	241
478	184
11	484
351	26
360	373
250	472
467	292
407	194
71	29
319	20
114	33
1	452
405	444
339	485
148	301
270	170
109	264
178	13
239	86
70	486
185	100
160	117
459	287
161	105
354	5
442	349
425	360
12	79
272	485
187	222
228	384
8	388
53	182
427	33
388	173
72	246
188	161
449	125
384	26
173	5
341	22
477	280
411	277
100	32
206	111
132	156
496	430
459	348
487	71
140	31
85	120
434	366
395	479
448	7
441	186
41	57
369	313
88	43
427	364
477	283
426	493
246	2
127	158
402	497
397	492
44	342
8	364
323	428
467	234
68	173
81	492
286	125
49	349
390	365
158	253
467	251
215	411
485	1
285	114
481	121
35	111
389	237
325	56
396	115
382	258
287	272
339	31
227	342
311	270
37	38
359	323
500	452
360	456
322	74
178	157
193	225
327	269
134	166
403	434
166	109
140	199
257	188
140	239
34	110
435	494
373	445
422	185
428	354
188	235
23	12
221	121
41	499
421	384
177	366
499	213
440	228
419	229
156	122
204	81
351	322
292	391
180	310
326	438
121	9
35	120
23	286
171	261
59	416
161	254
438	44
87	16
445	431
14	319
134	461
56	318
152	101
161	263
128	296
419	48
213	162
22	12
228	45
144	369
174	397
220	208
483	351
141	154
412	474
437	341
207	143
20	173
113	103
97	74
267	202
90	118
211	476
309	241
0	163
198	321
447	468
150	185
343	273
193	3
497	157
155	339
463	123
225	306
345	408
200	466
491	246
224	173
360	296
39	90
41	211
73	256
65	470
176	145
67	284
392	465
476	323
436	142
101	107
100	366
299	266
412	60
297	29
203	75
258	490
194	409
210	29
209	441
498	213
313	288
69	67
164	2
436	49
49	86
78	125
492	221
200	12
108	284
217	5
303	217
108	408
395	156
251	127
41	334
420	300
276	347
